#1:ID 	 2:zbest 	 3:M_med 	 4:RA 	 5:DEC 	 6:IRAC_Ch1_FLUX 	 7:IRAC_Ch1_FLUXERR 	 8:IRAC_Ch2_FLUX 	 9:IRAC_Ch2_FLUXERR 	 10:IRAC_Ch3_FLUX 	 11:IRAC_Ch3_FLUXERR 	 12:IRAC_Ch4_FLUX 	 13:IRAC_Ch4_FLUXERR 	 14:f_IRAC_58 	 15:f_IRAC_80 	 16:f_MIPS24 	 17:f_MIPS70 	 18:f_MIPS160 	 19:f_PACS_100 	 20:f_PACS_160 	 21:f_SPIRE_250 	 22:f_SPIRE_350 	 23:f_SPIRE_500 


125     2.02    9.75162   150.1023779    2.1795006      3.34814        0.105265       3.52034        0.109265       2.74609     2.9848      3.17293     3.00142     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
130     0.97    10.248    150.0642302    2.1786473      19.8622        0.270393       16.3534        0.207134       23.1638     5.10039     4.62782     6.02661     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
134     0.9529  9.71547   150.1094771    2.1800379      5.82819        0.102318       4.47495        0.109148       4.86169     2.58343     3.82821     2.91917     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
137     0.78    9.75328   150.0687965    2.1798495      10.1967        0.154721       7.56974        0.124422       2.64588     3.03364     -1.11613    3.56111     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
146     2.04    10.3025   150.072858     2.1802467      4.44905        0.14984        5.64503        0.119604       5.25399     2.97825     5.33166     3.32889     0.0       0.0       135.4     0.0       0.0       0.0       0.0       0.0       0.0       0.0       
172     1.21    10.7758   150.0608375    2.1789153      27.036         0.172587       24.5995        0.130766       13.8856     3.1817      10.2539     3.27571     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
185     1.936   9.97234   150.0730022    2.1812181      4.37676        0.156747       5.17542        0.126771       6.8539      3.31264     1.07953     3.35232     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
186     1.374   10.1329   150.0707569    2.1814726      5.13056        0.199111       5.3419         0.153324       5.51837     3.73314     -0.197507   4.08745     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
187     0.973   9.60597   150.1143096    2.1812943      4.01676        0.14634        3.25411        0.150739       -4.8909     3.32321     0.552848    3.75143     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
200     0.509   11.0116   150.0809929    2.1799299      50.5711        0.129947       35.5944        0.11467        20.2062     3.00796     7.71884     2.97064     0.0       7.7193    0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
214     1.868   10.6824   150.0932003    2.1816124      8.60635        0.118067       11.9123        0.11608        12.8734     3.0407      8.4391      2.92139     0.0       0.0       87.02     0.0       0.0       0.0       0.0       0.0       0.0       0.0       
220     2.88    9.94888   150.0748942    2.1816346      2.13377        0.139525       2.39291        0.114082       -3.90839    2.65394     -3.50263    2.79229     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
228     2.414   10.8803   150.1138644    2.1819281      8.01399        0.131052       10.1945        0.140048       11.1712     3.69033     2.94858     3.89371     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
243     0.336   10.8514   150.1077875    2.1804253      67.5878        0.109502       46.365         0.113025       26.2911     2.74206     12.552      3.20115     0.0       12.553    0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
270     0.81    10.4723   150.0824879    2.1821822      33.638         0.131881       24.6251        0.114787       22.5781     3.31666     12.466      3.13412     0.0       0.0       162.34    0.0       0.0       1956.2    5490.8    12269.0   8905.2    6612.0    
273     1.35    9.82788   150.124497     2.182716       2.6518         0.114199       3.23155        0.11796        25.2079     3.13537     12.3593     3.3583      0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
276     7.551   9.51135   150.1305218    2.1833505      0.295996       0.158865       0.180699       0.162723       -2.34372    4.20853     -3.41901    4.82566     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
278     2.533   10.3642   150.1153748    2.1826816      22.3871        0.175719       14.3364        0.177292       -26.4855    4.39234     -20.0569    4.49974     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
280     1.69    10.4107   150.0776817    2.1832131      5.37802        0.136946       8.36656        0.114905       -1.75804    3.294       5.19383     3.12129     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
281     2.709   9.54121   150.113548     2.183543       0.894526       0.103608       0.901381       0.108795       -0.760929   2.54566     -3.46244    2.88839     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
283     0.96    10.1825   150.0723594    2.1830004      17.594         0.144222       14.4363        0.116902       9.73244     2.75012     9.99863     3.01903     0.0       0.0       163.69    0.0       0.0       0.0       0.0       0.0       0.0       0.0       
290     1.586   9.80028   150.0668676    2.1830922      3.49052        0.157023       3.76789        0.120192       4.82039     2.69422     3.16951     3.14335     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
298     0.683   9.53616   150.0712573    2.1829741      7.91369        0.145972       6.04343        0.11702        3.4194      2.84732     4.0288      2.91985     0.0       4.029     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
304     1.186   10.2459   150.1410951    2.1834791      12.1145        0.105265       11.7879        0.106211       3.10969     3.09861     5.69264     3.1059      0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
305     1.77    11.0284   150.0770456    2.1829806      19.8336        0.156655       25.2535        0.131823       21.1902     3.8127      14.7173     3.60625     0.0       0.0       176.37    0.0       0.0       0.0       0.0       0.0       0.0       0.0       
310     1.77    9.71629   150.1027364    2.1837766      3.67057        0.174521       4.77537        0.179172       6.93851     5.13715     -4.99667    5.08388     0.0       0.0       80.245    0.0       0.0       0.0       0.0       0.0       0.0       0.0       
324     2.135   9.83771   150.1306448    2.1838894      2.65245        0.133447       2.78991        0.13993        4.65018     3.72609     -3.73536    4.25247     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
325     1.77    9.56501   150.0829272    2.1840759      1.95519        0.135657       2.08356        0.121367       4.35709     3.94062     6.34775     3.49373     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
335     1.705   10.6017   150.0845102    2.1843252      8.00468        0.122027       9.14763        0.109853       21.7305     3.13436     12.4024     3.14369     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
340     1.51    9.52457   150.0823491    2.1840048      1.6545         0.137223       1.82062        0.120074       2.00078     3.93004     -1.74422    3.41336     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
346     1.74    10.1826   150.0860522    2.1847817      2.80376        0.128566       3.66298        0.115845       4.76852     3.30508     5.12287     3.33898     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
347     0.63    11.281    150.1250382    2.1823659      71.1596        0.116317       51.7501        0.119017       24.6972     3.10616     12.8453     3.41866     0.0       12.846    0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
352     1.37    10.4798   150.1058364    2.1844452      11.4808        0.103516       13.1134        0.110088       5.7188      2.77027     9.08993     3.11992     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
357     2.62    10.1747   150.0595702    2.1848857      1.86816        0.165036       1.9945         0.128299       -0.58165    3.00746     3.43234     3.14831     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
377     1.943   10.8513   150.1453516    2.1849066      9.07364        0.104805       12.2038        0.104918       11.2719     2.7325      2.36239     3.25604     0.0       0.0       167.66    0.0       0.0       0.0       0.0       0.0       0.0       0.0       
380     2.2711  9.6053    150.104386     2.1852402      1.05882        0.143854       1.41364        0.147215       7.32476     4.11889     -3.9922     4.47836     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
383     1.26    10.4819   150.0851486    2.1840549      20.1805        0.130039       27.2864        0.118195       18.8993     3.35393     13.1391     3.38498     0.0       0.0       261.11    0.0       0.0       918.36    3429.6    0.0       13603.0   6612.0    
394     1.973   9.75075   150.1025763    2.1853976      1.00615        0.143761       1.17924        0.151092       5.33204     4.23471     -6.45531    4.10387     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
399     1.1288  9.91839   150.1037577    2.1850782      9.2757         0.125526       8.47441        0.131941       2.81307     3.7568      6.66564     3.88139     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
412     2.38    9.89337   150.144141     2.1854309      2.07179        0.143577       2.44085        0.148859       4.09119     4.32989     -0.955044   4.45151     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
415     2.1807  10.8172   150.0774593    2.1854144      6.91832        0.137959       9.79746        0.114905       10.4959     3.10616     11.5284     3.2569      0.0       0.0       103.28    0.0       0.0       0.0       0.0       0.0       0.0       0.0       
428     1.29    10.3647   150.0911276    2.1853908      9.85774        0.196716       10.2843        0.186809       2.85537     5.14722     -4.79642    4.64115     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
434     0.54    10.7096   150.1152063    2.1828474      120.671        0.179126       79.4032        0.180582       69.4334     4.47392     38.8572     4.61636     0.0       38.86     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
445     2.826   10.4597   150.0733815    2.1862467      3.24085        0.176455       4.56071        0.141458       1.2056      3.44357     16.0222     3.82924     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
449     1.9517  9.78335   150.1592096    2.1862975      1.84477        0.10987        2.06277        0.1095         -0.663232   2.82365     4.03307     3.18661     0.0       0.0       78.346    0.0       0.0       1745.1    2405.7    0.0       0.0       0.0       
453     2.02    11.0387   150.1254026    2.185425       23.2642        0.105358       27.6544        0.109735       18.9139     2.83523     10.8872     3.16079     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
457     2.46    10.5649   150.0763914    2.1860756      5.88446        0.13888        6.86022        0.11232        2.82667     2.77681     2.56588     3.08589     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
460     2.15    10.5657   150.085351     2.1863943      5.31162        0.115488       6.32106        0.103743       5.99578     2.99285     2.22524     2.75774     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
486     0.87    9.66055   150.0874157    2.185992       6.18524        0.175719       4.42031        0.164016       -1.78977    4.68543     -0.194942   4.20749     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
487     8.757   9.58427   150.1678777    2.1870826      0.125526       0.255566       0.14651        0.256597       -1.79682    6.31355     -5.99976    6.7349      0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
493     0.92    10.0      150.1464693    2.1858906      14.2046        0.113922       10.4741        0.115022       6.79347     2.93242     -0.3261     3.56966     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
496     0.9     9.53531   150.1533157    2.186284       6.99789        0.104437       5.04548        0.107151       3.44558     2.60055     0.623472    3.20594     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
502     2.006   10.5197   150.0818334    2.1869885      4.15527        0.130684       5.48653        0.112085       8.07109     3.22803     8.53845     3.21124     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
504     0.89    9.84948   150.1312744    2.1865586      7.15547        0.101582       5.56901        0.106328       0.0906468   2.89717     3.91132     2.9886      0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
509     1.71    9.62085   150.1469674    2.1870352      1.54095        0.118619       1.13378        0.122659       1.42416     3.07645     -1.73601    3.85745     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
510     1.52    9.61749   150.0697616    2.1873156      0.948126       0.391959       0.330498       0.309703       2.68063     6.42031     -4.27521    7.45499     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
511     1.9     9.58859   150.1192578    2.1866831      0.903183       0.123408       1.11274        0.126184       1.07567     3.72457     -0.734281   3.41199     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
513     0.551   10.1199   150.1625682    2.1865119      5.221          0.118988       3.53573        0.120427       -0.159639   3.38666     2.61376     3.35043     0.0       2.6139    0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
515     4.038   10.4198   150.1545579    2.187163       2.47765        0.105358       2.58195        0.106681       3.3917      2.76775     0.623301    3.22868     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
518     1.13    10.7051   150.1054336    2.1852216      34.8894        0.116409       31.1735        0.124657       8.93223     3.16105     22.414      3.56778     0.0       0.0       95.24     0.0       0.0       1368.4    6076.3    0.0       0.0       0.0       
523     1.79    9.9266    150.0702395    2.1872928      1.77542        0.509197       2.8174         0.378552       -4.66327    7.74979     5.91067     9.24965     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
524     2.134   11.3475   150.1039402    2.1864262      26.6202        0.120922       38.2994        0.127829       56.622      3.83385     29.3119     3.69073     0.0       0.0       447.94    0.0       0.0       4105.9    10766.0   32301.0   30008.0   24679.0   
532     1.5699  10.9021   150.1578792    2.187126       11.9022        0.105081       14.8334        0.107386       5.16032     2.78185     6.43787     3.28374     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
533     1.56    10.095    150.0700055    2.1873043      2.8558         0.439297       4.54485        0.355994       3.61882     7.41239     1.48959     8.63455     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
543     0.788   10.5346   150.0830308    2.1866476      46.3346        0.135657       32.5419        0.115492       29.509      3.49242     11.9867     3.18473     0.0       0.0       150.67    0.0       0.0       1464.9    2808.3    0.0       0.0       0.0       
544     0.34    9.7255    150.1303646    2.1859451      27.945         0.113554       26.792         0.118665       17.0235     3.21494     35.5182     3.48535     0.0       35.52     134.41    0.0       0.0       1459.5    4405.9    0.0       0.0       0.0       
545     2.834   10.554    150.169016     2.1875069      3.86627        0.136578       5.06615        0.137698       8.00411     3.59062     9.59883     4.1143      0.0       0.0       0.0       0.0       0.0       810.98    2021.6    6699.1    8025.0    6165.0    
551     0.95    9.51916   150.1205367    2.1870078      5.13001        0.113922       3.67167        0.11561        -0.061942   3.21393     -3.72441    3.11411     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
552     1.963   9.92875   150.1047387    2.1874101      2.57785        0.113278       3.08892        0.119722       -1.74999    3.45414     -1.24643    3.16832     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
553     2.33    9.73804   150.1570592    2.1873773      2.44063        0.233278       2.83268        0.230045       -7.06843    5.39147     -6.07175    7.1335      0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
555     1.471   9.77381   150.1454781    2.1875773      3.86793        0.125526       4.89297        0.128299       4.21004     3.57702     2.80648     4.0907      0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
561     0.92    10.6423   150.0793041    2.1858601      60.0           0.154445       46.4318        0.130414       34.8497     3.75127     21.6851     3.64935     0.0       0.0       268.17    6840.9    0.0       3117.5    3188.9    0.0       0.0       0.0       
562     0.91    9.69592   150.1630861    2.1869583      6.87108        0.115304       5.04736        0.11608        4.91608     3.2522      3.21842     3.20713     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
566     0.96    9.57787   150.1657576    2.1866866      6.35267        0.117975       5.10963        0.117725       2.78336     3.25372     3.97904     3.1873      0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
567     3.807   9.61937   150.0775693    2.1876993      1.08931        0.151313       1.32716        0.121602       2.91228     3.22551     3.55598     3.48416     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
572     2.313   9.69992   150.061889     2.1877899      1.44719        0.160983       2.09578        0.123952       1.23733     2.82365     1.32441     2.80785     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
573     3.74    9.91392   150.0829911    2.1880858      1.26024        0.144867       1.28334        0.126654       4.37673     3.57753     4.30086     3.3766      0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
575     2.875   9.88106   150.1687957    2.1882361      0.634816       0.133539       0.594263       0.133468       -5.45845    3.52314     -3.96672    3.95681     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
578     2.95    10.0599   150.0889496    2.188048       2.08965        0.12479        2.57678        0.116432       -0.409925   3.3217      2.35025     3.37198     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
579     2.483   10.5446   150.1594046    2.187126       5.98687        0.145235       7.91681        0.148154       4.14155     3.93759     1.84391     4.61465     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
581     1.599   9.53561   150.1509149    2.1877364      2.01754        0.100292       2.23618        0.104213       0.0387767   2.67509     7.4555      3.2439      0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
582     3.9     9.79746   150.1570039    2.1879729      1.29956        0.158405       1.44336        0.158729       1.12603     3.80616     13.5037     4.78274     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
587     1.12    9.99537   150.0705923    2.1879294      6.28636        0.190546       5.02409        0.147802       1.63114     3.30156     5.13364     3.74528     0.0       0.0       0.0       0.0       0.0       0.0       5365.9    0.0       0.0       12916.0   
602     1.06    9.73684   150.0755006    2.1870272      5.03082        0.145051       3.93132        0.117255       5.45291     2.86142     -3.741      3.08795     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
610     1.079   9.71002   150.0584864    2.1879106      7.62065        0.16964        6.9689         0.126771       3.98493     2.74458     3.03528     2.75278     0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       
