#  RA_x                DEC_x         flux_F         flux_S         flux_H             HR
                                                                                                                                                                                     
  1.497924531330E+002  1.887094504230E+000 -1.740000E-015  3.130000E-016 -1.350000E-015 -9.900000E+001
  1.497540299575E+002  2.141883625600E+000  8.710000E-015  3.110000E-015 -9.390001E-015 -8.600000E-001
  1.498124599564E+002  2.111085204600E+000  3.090000E-015 -7.040000E-016  4.960000E-015  7.800000E-001
  1.496888068260E+002  2.133700020550E+000  5.240000E-015  1.530000E-015 -4.980000E-015 -4.500000E-001
  1.497069690640E+002  2.158980487480E+000  4.090000E-015  9.920000E-016  3.060000E-015 -9.900000E+001
  1.497055628810E+002  2.460209630680E+000  3.480000E-015  6.250000E-016 -4.640000E-015 -9.900000E+001
  1.500402399946E+002  2.471334229000E+000  9.010000E-015  6.590000E-016  1.450000E-014  5.700000E-001
  1.497098899926E+002  2.155133505700E+000  6.060000E-015  3.970000E-016  1.010000E-014  5.800000E-001
  1.497018800038E+002  2.121601016900E+000  3.200000E-015  7.040000E-016  4.160000E-015  1.300000E-001
  1.497063999617E+002  2.131749386300E+000  3.500000E-015  1.130000E-015 -7.810000E-015 -6.100000E-001
  1.497658899742E+002  2.054721800200E+000  1.470000E-015  2.550000E-016 -9.699999E-015  3.400000E-001
  1.497943599679E+002  2.073133914800E+000  9.040000E-015  2.520000E-015  4.320000E-015 -4.700000E-001
  1.498514000012E+002  2.136145107300E+000  1.250000E-014  3.470000E-015  7.450000E-015 -3.700000E-001
  1.498301300031E+002  2.089128497900E+000  3.820000E-015  9.829999E-016 -9.699999E-015 -3.900000E-001
  1.498761199543E+002  2.166757272600E+000  1.710000E-014  5.220000E-015  6.110000E-015 -5.900000E-001
  1.500510599836E+002  2.493862377900E+000  1.150000E-014  1.390000E-015  1.520000E-014  3.500000E-001
  1.499448800208E+002  2.078211488700E+000  4.600000E-015  1.230000E-015  2.660000E-015 -4.100000E-001
  1.498359600052E+002  2.165726416200E+000  3.910000E-015  5.570000E-016  4.500000E-015  1.600000E-001
  1.498502999580E+002  2.132089579200E+000  2.210000E-015  7.540000E-016 -6.600000E-015 -9.900000E+001
  1.498727199697E+002  2.087136303200E+000  2.310000E-015  6.530000E-016 -5.990000E-015 -9.900000E+001
  1.498269100111E+002  2.015024690900E+000  1.820000E-015  6.910000E-016 -2.700000E-015 -9.900000E+001
  1.500469970703E+002  2.476209000000E+000 -6.770000E-015  6.340000E-016 -1.290000E-015 -9.900000E+001
  1.498784399851E+002  2.031717089400E+000  1.040000E-015 -3.750000E-016  1.750000E-015 -9.900000E+001
  1.498889699611E+002  2.022898001400E+000  2.260000E-015  5.310000E-016  1.350000E-015 -4.600000E-001
  1.500231200191E+002  1.984440591900E+000  1.130000E-014  3.520000E-015  3.770000E-015 -6.300000E-001
  1.499401600192E+002  2.140250401200E+000  3.770000E-015  4.690000E-016  5.440000E-015  3.100000E-001
  1.499599699718E+002  2.032476911200E+000  5.100000E-015  7.420000E-016  6.720000E-015  2.300000E-001
  1.500585799940E+002  2.477450610700E+000  2.260000E-014  5.110000E-015  1.860000E-014 -1.300000E-001
  1.499986499785E+002  2.077006106700E+000  7.830000E-015  1.910000E-015  5.900000E-015 -2.300000E-001
  1.500427299634E+002  2.103733491800E+000  3.770000E-015  5.740000E-016  4.590000E-015  1.500000E-001
  1.500591900128E+002  2.112464005800E+000  7.210000E-015  1.190000E-015  8.600000E-015  1.600000E-001
  1.500227100052E+002  2.026145514300E+000  3.390000E-015  4.580000E-016  3.250000E-015  4.000000E-002
  1.499986200060E+002  1.974560986600E+000  4.510000E-015  1.510000E-015 -9.480000E-015 -6.400000E-001
  1.502162399810E+002  1.988769898700E+000  2.730000E-014  7.420000E-015  1.780000E-014 -3.100000E-001
  1.501109699861E+002  1.973119592000E+000  2.860000E-015  3.540000E-016  3.830000E-015  2.100000E-001
  1.501397299689E+002  1.998022810200E+000  3.890000E-015  7.540000E-016  3.370000E-015 -1.400000E-001
  1.501487499893E+002  2.060635603100E+000  3.200000E-015 -1.530000E-015  5.350000E-015  2.300000E-001
  1.500354199865E+002  2.046383112700E+000  2.280000E-015  4.370000E-016  2.680000E-015 -4.000000E-002
  1.500591299699E+002  2.505388008500E+000  5.680000E-015  1.320000E-015  4.890000E-015 -1.700000E-001
  1.500983799566E+002  2.063942409300E+000  3.380000E-015  1.080000E-015  2.100000E-015 -4.700000E-001
  1.501059900206E+002  2.014703984800E+000  3.250000E-015  6.660000E-016 -1.510000E-014 -1.600000E-001
  1.500992600127E+002  2.018363504500E+000  2.210000E-015  4.700000E-016 -1.220000E-014 -9.900000E+001
  1.501183200033E+002  1.990847711300E+000  1.190000E-015 -4.440000E-016  2.230000E-015  7.000000E-001
  1.499909699599E+002  2.003738912900E+000  4.600000E-015  9.640000E-016  3.220000E-015 -2.500000E-001
  1.500980399782E+002  2.008304090400E+000  2.940000E-015  8.370000E-016  1.630000E-015 -5.300000E-001
  1.501156200026E+002  1.951608300600E+000  1.520000E-015  4.450000E-016 -4.620000E-015 -9.900000E+001
  1.501495299869E+002  1.965298516300E+000  2.060000E-015  5.680000E-016 -8.450000E-015 -3.300000E-001
  1.502270050049E+002  2.232480000000E+000 -7.390000E-015  2.210000E-016 -5.840000E-015 -9.900000E+001
  1.503238999982E+002  2.004002292100E+000  4.660000E-015  1.170000E-015 -1.230000E-014 -3.400000E-001
  1.503164899857E+002  1.887003916000E+000  9.120000E-015  2.190000E-015  6.440000E-015 -2.400000E-001
  1.500621700161E+002  2.455058115900E+000  3.630000E-014  1.020000E-014  2.320000E-014 -3.500000E-001
  1.502744199835E+002  1.988737912100E+000  4.650000E-015  5.310000E-016  6.290000E-015  3.100000E-001
  1.502648799788E+002  1.987000112400E+000  5.760000E-015  1.310000E-015  2.430000E-015 -4.600000E-001
  1.501765999791E+002  1.946597214600E+000  2.650000E-015  6.000000E-016  2.110000E-015 -2.600000E-001
  1.502299600003E+002  1.993872886700E+000  1.950000E-015  6.910000E-016 -2.740000E-015 -9.900000E+001
  1.502305699940E+002  1.998823996000E+000  1.510000E-015 -3.700000E-016  2.460000E-015 -9.900000E+001
  1.502324999813E+002  1.942657803600E+000  2.310000E-014  6.780000E-016  4.160000E-014  8.300000E-001
  1.502777199998E+002  1.869869507000E+000  1.980000E-015  4.630000E-016 -8.880000E-015 -5.400000E-001
  1.502960599917E+002  1.893006011900E+000  1.600000E-015  3.820000E-016 -1.010000E-014 -9.900000E+001
  1.503231099899E+002  1.971400285900E+000  3.640000E-015 -5.600000E-016  7.360000E-015 -9.900000E+001
  1.503446599931E+002  1.992616506500E+000  2.450000E-015  4.170000E-016 -8.570000E-015 -1.700000E-001
  1.500641400079E+002  2.417789885500E+000  7.330000E-015  1.430000E-015  7.360000E-015  0.000000E+000
  1.502440032959E+002  2.194416000000E+000 -1.070000E-014  3.990000E-016 -4.410000E-015 -9.900000E+001
  1.503530866920E+002  1.960697672560E+000  6.560000E-015  1.290000E-015  6.720000E-015 -1.200000E-001
  1.503950590120E+002  1.976983869080E+000  1.410000E-014  3.850000E-015  9.800000E-015 -2.700000E-001
  1.503128099929E+002  1.953882199300E+000  2.510000E-015  9.760001E-016 -5.870000E-015 -5.800000E-001
  1.498953499930E+002  2.227663768300E+000  7.270000E-015  1.380000E-015  7.080000E-015  0.000000E+000
  1.503989281130E+002  2.059454957330E+000  1.250000E-015  6.850000E-016 -1.960000E-015 -9.900000E+001
  1.499056000129E+002  2.225105967800E+000  8.370000E-015  5.800000E-016  1.330000E-014  5.800000E-001
  1.498510899678E+002  2.287436495400E+000  2.150000E-015 -1.120000E-015  2.580000E-015 -9.900000E+001
  1.498529399940E+002  2.205918273300E+000  2.620000E-015  4.690000E-016  2.740000E-015 -5.000000E-002
  1.500140075684E+002  2.193798000000E+000 -7.740000E-015  4.680000E-016 -5.810000E-015 -9.900000E+001
  1.498791999878E+002  2.225811218800E+000  6.970000E-015  2.020000E-015  3.860000E-015 -4.500000E-001
  1.498425700160E+002  2.324426201200E+000  3.600000E-015 -7.040000E-016  6.170000E-015 -9.900000E+001
  1.501026140120E+002  2.530393660260E+000  9.860000E-014  3.020000E-014  5.470000E-014 -4.300000E-001
  1.497937699957E+002  2.327270512900E+000  9.500000E-015  1.600000E-015  1.080000E-014  1.400000E-001
  1.498515499974E+002  2.323999428500E+000  3.160000E-015  1.090000E-015 -6.510000E-015 -3.000000E-001
  1.498117299605E+002  2.296967974200E+000  2.150000E-015  4.240000E-016  1.810000E-015 -2.500000E-001
  1.498330899719E+002  2.134335029000E+000  2.860000E-015 -3.950000E-016  5.500000E-015 -9.900000E+001
  1.498969900031E+002  2.196336474800E+000  3.360000E-015 -5.900000E-016  5.930000E-015  7.000000E-001
  1.503214848390E+002  1.714014699800E+000  7.540000E-015  2.330000E-015  5.150000E-015 -1.800000E-001
  1.500189299694E+002  2.147836893700E+000  1.180000E-014  9.380001E-016  1.780000E-014  5.600000E-001
  1.500105599775E+002  2.269483785400E+000  9.400000E-015  2.560000E-015  5.840000E-015 -3.600000E-001
  1.499532199589E+002  2.212521281400E+000  3.330000E-015  6.210000E-016  3.470000E-015 -3.000000E-002
  1.498948399979E+002  2.174497104100E+000  2.400000E-014  6.780000E-015  1.430000E-014 -3.700000E-001
  1.502087211520E+002  2.482052862650E+000  1.170000E-014  3.500000E-015  5.500000E-015 -3.700000E-001
  1.499070900083E+002  2.169263575900E+000  6.960000E-015  1.950000E-015  4.920000E-015 -3.200000E-001
  1.498773700025E+002  2.316151419000E+000  3.250000E-015  8.050000E-016  2.170000E-015 -3.700000E-001
  1.499317499634E+002  2.224477330700E+000  5.540000E-015  6.910000E-016  6.930000E-015  2.600000E-001
  1.498462999653E+002  2.256703109900E+000  2.030000E-015  5.740000E-016 -4.740000E-015 -9.900000E+001
  1.498858999798E+002  2.276027190400E+000  1.490000E-015 -1.280000E-015  1.260000E-015 -2.000000E-001
  1.498548299951E+002  2.112089382400E+000  4.020000E-015  8.500000E-016 -1.470000E-014  2.700000E-001
  1.499012499948E+002  2.168458516800E+000  2.210000E-015 -3.750000E-016  4.070000E-015  7.700000E-001
  1.499244300071E+002  2.149285125600E+000  2.120000E-015  5.400000E-016  1.540000E-015 -3.900000E-001
  1.500288400099E+002  2.158311830900E+000  2.510000E-015  4.060000E-016  3.500000E-015  1.200000E-001
  1.500591299686E+002  2.219823606400E+000  9.330000E-015  2.710000E-015  4.590000E-015 -4.800000E-001
  1.501323785830E+002  2.523344501450E+000  1.710000E-014  1.370000E-015  2.590000E-014  6.600000E-001
  1.500930699845E+002  2.101414710600E+000  5.890000E-015  1.540000E-015  3.680000E-015 -3.500000E-001
  1.500105000195E+002  2.255991879000E+000  4.540000E-015  1.010000E-015  3.560000E-015 -2.100000E-001
  1.500181299828E+002  2.259577980100E+000  2.830000E-015  7.730000E-016 -8.760000E-015 -6.400000E-001
  1.500368600085E+002  2.257774101800E+000  4.320000E-015  8.310000E-016  4.260000E-015 -3.000000E-002
  1.501046700137E+002  2.243817973600E+000  5.320000E-015  5.540000E-016  8.029999E-015  4.100000E-001
  1.499866699919E+002  2.189374200800E+000  1.870000E-015 -2.250000E-016  3.890000E-015 -9.900000E+001
  1.500441639610E+002  2.656491979810E+000  2.260000E-015  8.730000E-016  1.050000E-015 -3.300000E-001
  1.500077700096E+002  2.149298189000E+000  3.330000E-015  5.760000E-016  3.650000E-015  4.000000E-002
  1.500187399957E+002  2.218729493800E+000  1.820000E-015 -6.970000E-016  3.340000E-015 -9.900000E+001
  1.500241099572E+002  2.244795124700E+000  1.080000E-015 -3.080000E-016  1.910000E-015 -9.900000E+001
  1.500620864890E+002  2.659581681890E+000  1.880000E-014  6.050000E-015  1.160000E-014 -4.100000E-001
  1.500244199858E+002  2.232964298500E+000  1.930000E-015  5.660000E-016 -8.479999E-015 -2.100000E-001
  1.500433099711E+002  2.156501325000E+000  2.750000E-015  7.670000E-016 -8.270000E-015 -4.800000E-001
  1.502259979248E+002  2.268128000000E+000 -5.870000E-015  3.660000E-016 -2.790000E-015 -9.900000E+001
  1.500611000063E+002  2.119114185700E+000  3.530000E-015  9.760001E-016 -6.960000E-015 -5.800000E-001
  1.500789699955E+002  2.266592266300E+000  2.780000E-015  5.400000E-016 -4.130000E-015 -9.900000E+001
  1.500843699911E+002  2.184452314500E+000  3.630000E-015  6.590000E-016  4.130000E-015  4.000000E-002
  1.504049987793E+002  2.278424000000E+000 -5.540000E-015  4.440000E-016 -1.950000E-015 -9.900000E+001
  1.501059499750E+002  2.213170807800E+000  2.280000E-015  5.740000E-016 -9.240000E-015 -3.400000E-001
  1.501201400178E+002  2.221352601900E+000  1.450000E-015  3.150000E-016 -8.090000E-015 -2.200000E-001
  1.501713171790E+002  2.564155096190E+000  4.190000E-014  1.170000E-014  2.670000E-014 -2.800000E-001
  1.502122899892E+002  2.186605219900E+000  2.340000E-015  6.780000E-016  2.040000E-015 -3.300000E-001
  1.501000061035E+002  2.354513000000E+000 -3.850000E-015  2.730000E-016 -2.740000E-015 -9.900000E+001
  1.501156399709E+002  2.126731588700E+000  2.810000E-015  7.610000E-016  1.610000E-015 -4.800000E-001
  1.501200300179E+002  2.159596674900E+000  2.120000E-015  3.410000E-016  2.400000E-015  0.000000E+000
  1.501640699967E+002  2.179179697400E+000  1.850000E-015 -1.310000E-015 -1.530000E-014  1.900000E-001
  1.498970031738E+002  2.323927000000E+000 -1.220000E-014  6.660000E-016 -6.720000E-015 -9.900000E+001
  1.500564799541E+002  2.208528023500E+000  2.530000E-015  3.980000E-016 -1.330000E-014 -9.900000E+001
  1.501527300037E+002  2.067832485600E+000  3.470000E-015  9.640000E-016 -1.320000E-014 -9.900000E+001
  1.502015899987E+002  2.067947104700E+000  1.850000E-015  3.750000E-016  1.570000E-015 -2.700000E-001
  1.502036900023E+002  1.983291395300E+000  2.430000E-015  7.420000E-016 -5.930000E-015 -9.900000E+001
  1.502223899788E+002  2.011662001900E+000  1.960000E-015  5.450000E-016  1.730000E-015 -3.500000E-001
  1.501891958950E+002  2.606609895770E+000  1.700000E-014  4.460000E-015  1.260000E-014 -1.500000E-001
  1.501087399954E+002  2.157039867300E+000  4.110000E-015  9.890000E-016  2.950000E-015 -3.000000E-001
  1.503310099742E+002  2.070143195200E+000  1.760000E-015  4.140000E-016 -1.030000E-014  7.000000E-002
  1.503827099865E+002  2.066426812000E+000  1.000000E-014  2.210000E-015  9.240000E-015 -8.000000E-002
  1.504629974365E+002  2.120764000000E+000 -5.430000E-015  4.790000E-016 -2.810000E-015 -9.900000E+001
  1.501395199676E+002  2.095255087500E+000  2.720000E-015  1.210000E-015 -2.910000E-015 -9.900000E+001
  1.502789400023E+002  1.959756987000E+000  2.420000E-015  5.800000E-016 -1.210000E-014 -2.300000E-001
  1.502089996338E+002  2.249554000000E+000 -9.290000E-015  3.120000E-016 -7.720000E-015  2.300000E-001
  1.503186899967E+002  2.040688299600E+000  2.510000E-015  2.920000E-016  3.130000E-015  1.600000E-001
  1.503246999745E+002  2.026352195400E+000  2.860000E-015  9.260000E-016 -9.150000E-015 -9.900000E+001
  1.503693100044E+002  2.041369184700E+000  2.120000E-015  4.300000E-016  1.950000E-015 -2.200000E-001
  1.501990687310E+002  2.597663093640E+000  1.380000E-014  2.570000E-015  1.400000E-014  1.500000E-001
  1.503808599752E+002  2.099661088400E+000  2.010000E-015 -1.270000E-015  2.150000E-015  3.000000E-001
  1.503914099895E+002  2.086610087900E+000  2.920000E-015  7.230000E-016 -9.000000E-015 -4.000000E-001
  1.503947392620E+002  2.068451169420E+000  2.380000E-015  6.980000E-016 -2.680000E-015 -9.900000E+001
