 NUMBER     AGNF50_AGN
      J              E
                      
 157265           NULL
 157301           NULL
 157379           NULL
 157517           NULL
 157659           NULL
 157670           NULL
 157691           NULL
 157759           NULL
 157875           NULL
 157943           NULL
 157980           NULL
 158040           NULL
 158107           NULL
 158291           NULL
 158382           NULL
 158403           NULL
 158431           NULL
 158552           NULL
 158577           NULL
 158815           NULL
 158828           NULL
 158834           NULL
 158852           NULL
 158856           NULL
 158956           NULL
 159011           NULL
 159064           NULL
 159130           NULL
 159152           NULL
 159232           NULL
 159301           NULL
 159356           NULL
 159357           NULL
 159384           NULL
 159396           NULL
 159404           NULL
 159440           NULL
 159457           NULL
 159473           NULL
 159541           NULL
 159599           NULL
 159645           NULL
 159654           NULL
 159668           NULL
 159692           NULL
 159698           NULL
 159846           NULL
 159862           NULL
 159917           NULL
 159997           NULL
 160001           NULL
 160117           NULL
 160143           NULL
 160145           NULL
 160173           NULL
 160187           NULL
 160195           NULL
 160196           NULL
 160201           NULL
 160284           NULL
 160286           NULL
 160290           NULL
 160302           NULL
 160313           NULL
 160343           NULL
 160362           NULL
 160413           NULL
 160426           NULL
 160433           NULL
 160457           NULL
 160462           NULL
 160527           NULL
 160598           NULL
 160602           NULL
 160614           NULL
 160620           NULL
 160637           NULL
 160648           NULL
 160661           NULL
 160686           NULL
 160853           NULL
 160862           NULL
 161005           NULL
 161018           NULL
 161045           NULL
 161065           NULL
 161148           NULL
 161159           NULL
 161202           NULL
 161234           NULL
 161240           NULL
 161338           NULL
 161349           NULL
 161358           NULL
 161360           NULL
 161380           NULL
 161414           NULL
 161675           NULL
 161692           NULL
 161726           NULL
 161835           NULL
 161870           NULL
 161926           NULL
 161971           NULL
 161995           NULL
 162033           NULL
 162120           NULL
 162157           NULL
 162166           NULL
 162178           NULL
 162261           NULL
 162272           NULL
 162376           NULL
 162396           NULL
 162519           NULL
 162527           NULL
 162568           NULL
 162654           NULL
 162711           NULL
 162739           NULL
 162760           NULL
 162789           NULL
 162857           NULL
 162864           NULL
 162885           NULL
 162903           NULL
 162912           NULL
 162916           NULL
 162952           NULL
 163059           NULL
 163077           NULL
 163163           NULL
 163171           NULL
 163175           NULL
 163216           NULL
 163222           NULL
 163300           NULL
 163349           NULL
 163376           NULL
 163387           NULL
 163449           NULL
 163487           NULL
 163538           NULL
 163601           NULL
 163655           NULL
 163671           NULL
 163722           NULL
 163746           NULL
 163783           NULL
 163816           NULL
 163907           NULL
 164015           NULL
 164075           NULL
 164133           NULL
 164197           NULL
 164212           NULL
 164317           NULL
 164358           NULL
 164372           NULL
 164389           NULL
 164392           NULL
 164394           NULL
 164429           NULL
 164452           NULL
 164504           NULL
 164517           NULL
 164636           NULL
 164721           NULL
 164728           NULL
 164735           NULL
 164781           NULL
 164810           NULL
 164827           NULL
 164833           NULL
 164866           NULL
 164879           NULL
 164886           NULL
 165026           NULL
 165044           NULL
 165051           NULL
 165071           NULL
 165086           NULL
 165094           NULL
 165127           NULL
 165129           NULL
 165150           NULL
 165191           NULL
 165206           NULL
 165223           NULL
 165253           NULL
 165261           NULL
 165271           NULL
 165311           NULL
 165322           NULL
 165355           NULL
 165371           NULL
 165373           NULL
 165417           NULL
 165446           NULL
 165454           NULL
 165501           NULL
 165524           NULL
 165543           NULL
 165548           NULL
 165563           NULL
 165628           NULL
 165638           NULL
 165776           NULL
 165783           NULL
 165795           NULL
 165850           NULL
 165864           NULL
 165894           NULL
 165900           NULL
 165901           NULL
 165991           NULL
 166021           NULL
 166076           NULL
 166094           NULL
 166112           NULL
 166147           NULL
 166165           NULL
 166218           NULL
 166222           NULL
 166230           NULL
 166285           NULL
 166294           NULL
 166308           NULL
 166309           NULL
 166319           NULL
 166332           NULL
 166380           NULL
 166382           NULL
 166424           NULL
 166425           NULL
 166434           NULL
 166516           NULL
 166568           NULL
 166576           NULL
 166588           NULL
 166592           NULL
 166655           NULL
 166659           NULL
 166691           NULL
 166802           NULL
 166813           NULL
 166917           NULL
 166929           NULL
 166974           NULL
 166981           NULL
 167061           NULL
 167094           NULL
 167095           NULL
 167185           NULL
 167193           NULL
 167283           NULL
 167337           NULL
 167342           NULL
 167366           NULL
 167371           NULL
 167389           NULL
 167390           NULL
 167507           NULL
 167512           NULL
 167528           NULL
 167531           NULL
 167572           NULL
 167587           NULL
 167600           NULL
 167613           NULL
 167625           NULL
 167787           NULL
 167900           NULL
 167920           NULL
 168062           NULL
 168088           NULL
 168244           NULL
 168246           NULL
 168269           NULL
 168273           NULL
 168276           NULL
 168319           NULL
 168336           NULL
 168389           NULL
 168478           NULL
 168517           NULL
 168616           NULL
 168620           NULL
 168632           NULL
 168646           NULL
 168672           NULL
 168706           NULL
 168714           NULL
 168715           NULL
 168758           NULL
 168762           NULL
 168767           NULL
 168824           NULL
 168873           NULL
 168928           NULL
 168945           NULL
 168957           NULL
 168992           NULL
 169006           NULL
 169020           NULL
 169029           NULL
 169066           NULL
 169135           NULL
 169140           NULL
 169148           NULL
 169275           NULL
 169356           NULL
 169391           NULL
 169542           NULL
 169551           NULL
 169564           NULL
 169615           NULL
 169656           NULL
 169663           NULL
 169715           NULL
 169723           NULL
 169791           NULL
 169824           NULL
 169829           NULL
 169857           NULL
 169874           NULL
 169904           NULL
 169982           NULL
 170030           NULL
 170046           NULL
 170140           NULL
 170210           NULL
 170232           NULL
 170233           NULL
 170235           NULL
 170254           NULL
 170281           NULL
 170282           NULL
 170304           NULL
 170386           NULL
 170388           NULL
 170487           NULL
 170491           NULL
 170556           NULL
 170611           NULL
 170629           NULL
 170652           NULL
 170666           NULL
 170691           NULL
 170707           NULL
 170726           NULL
 170783           NULL
 170790           NULL
 170813           NULL
 170885           NULL
 170894           NULL
 170913           NULL
 170915           NULL
 170957           NULL
 170964           NULL
 170990           NULL
 171075           NULL
 171085           NULL
 171088           NULL
 171149           NULL
 171157           NULL
 171184           NULL
 171195           NULL
 171222           NULL
 171335           NULL
 171354           NULL
 171404           NULL
 171407           NULL
 171468           NULL
 171471           NULL
 171492           NULL
 171515           NULL
 171565           NULL
 171623           NULL
 171634           NULL
 171645           NULL
 171661           NULL
 171742           NULL
 171750           NULL
 171768           NULL
 171772           NULL
 171824           NULL
 171891           NULL
 171900           NULL
 171901           NULL
 171937           NULL
 171947           NULL
 171966           NULL
 171985           NULL
 172020           NULL
 172121           NULL
 172136           NULL
 172261           NULL
 172318           NULL
 172324           NULL
 172350           NULL
 172466           NULL
 172469           NULL
 172481           NULL
 172530           NULL
 172548           NULL
 172592           NULL
 172640           NULL
 172708           NULL
 172728           NULL
 172747           NULL
 172778           NULL
 172802           NULL
 172840           NULL
 172850           NULL
 172922           NULL
 172935           NULL
 172989           NULL
 173021           NULL
 173046           NULL
 173053           NULL
 173146           NULL
 173239           NULL
 173242           NULL
 173282           NULL
 173367           NULL
 173408           NULL
 173437           NULL
 173460           NULL
 173484           NULL
 173490           NULL
 173519           NULL
 173520           NULL
 173569           NULL
 173587           NULL
 173675           NULL
 173739           NULL
 173755           NULL
 173791           NULL
 174006           NULL
 174012           NULL
 174060           NULL
 174092           NULL
 174129           NULL
 174231           NULL
 174251           NULL
 174275           NULL
 174304           NULL
 174338           NULL
 174362           NULL
 174390           NULL
 174499           NULL
 174518           NULL
 174566           NULL
 174572           NULL
 174600           NULL
 174614           NULL
 174619           NULL
 174648           NULL
 174650           NULL
 174682           NULL
 174741           NULL
 174779           NULL
 174782           NULL
 174831           NULL
 174837           NULL
 174892           NULL
 174919           NULL
 174952           NULL
 174974           NULL
 174992           NULL
 175024           NULL
 175076           NULL
 175126           NULL
 175167           NULL
 175168           NULL
 175216           NULL
 175240           NULL
 175254           NULL
 175258           NULL
 175273           NULL
 175280           NULL
 175315           NULL
 175320           NULL
 175322           NULL
 175355           NULL
 175383           NULL
 175397           NULL
 175418           NULL
 175439           NULL
 175475           NULL
 175485           NULL
 175580           NULL
 175589           NULL
 175612           NULL
 175623           NULL
 175631           NULL
 175672           NULL
 175684           NULL
 175722           NULL
 175798           NULL
 175802           NULL
 175842           NULL
 175866           NULL
 175894           NULL
 175908           NULL
 175910           NULL
 175951           NULL
 175952           NULL
 175979           NULL
 175983           NULL
 175988           NULL
 176014           NULL
 176019           NULL
 176056           NULL
 176151           NULL
 176172           NULL
 176192           NULL
 176240           NULL
 176261           NULL
 176371           NULL
 176403           NULL
 176492           NULL
 176530           NULL
 176534           NULL
 176556           NULL
 176577           NULL
 176586           NULL
 176629           NULL
 176634           NULL
 176664           NULL
 176686           NULL
 176698           NULL
 176737           NULL
 176855           NULL
 176877           NULL
 176884           NULL
 176895           NULL
 176906           NULL
 176945           NULL
 176948           NULL
 176971           NULL
 176987           NULL
 176994           NULL
 177028           NULL
 177066           NULL
 177124           NULL
 177126           NULL
 177132           NULL
 177187           NULL
 177188           NULL
 177226           NULL
 177251           NULL
 177263           NULL
 177298           NULL
 177353           NULL
 177354           NULL
 177403           NULL
 177409           NULL
 177420           NULL
 177460           NULL
 177465           NULL
 177543           NULL
 177550           NULL
 177564           NULL
 177607           NULL
 177621           NULL
 177622           NULL
 177632           NULL
 177644           NULL
 177652           NULL
 177697           NULL
 177714           NULL
 177729           NULL
 177736           NULL
 177785           NULL
 177800           NULL
 177816           NULL
 177844           NULL
 177893           NULL
 177914           NULL
 178014           NULL
 178015           NULL
 178029           NULL
 178104           NULL
 178159           NULL
 178166           NULL
 178194           NULL
 178224           NULL
 178236           NULL
 178314           NULL
 178329           NULL
 178347           NULL
 178367           NULL
 178380           NULL
 178386           NULL
 178431           NULL
 178449           NULL
 178461           NULL
 178483           NULL
 178515           NULL
 178542           NULL
 178631           NULL
 178647           NULL
 178670           NULL
 178697           NULL
 178714           NULL
 178751           NULL
 178817           NULL
 178825           NULL
 178827           NULL
 178842           NULL
 178889           NULL
 178947           NULL
 178965           NULL
 179070           NULL
 179074           NULL
 179085           NULL
 179091           NULL
 179102           NULL
 179111           NULL
 179124           NULL
 179132           NULL
 179149           NULL
 179245           NULL
 179249           NULL
 179253           NULL
 179256           NULL
 179259           NULL
 179265           NULL
 179281           NULL
 179295           NULL
 179313           NULL
 179345           NULL
 179402           NULL
 179494           NULL
 179513           NULL
 179519           NULL
 179528           NULL
 179556           NULL
 179595           NULL
 179631           NULL
 179657           NULL
 179658           NULL
 179666           NULL
 179687           NULL
 179690           NULL
 179816           NULL
 179820           NULL
 179878           NULL
 179996           NULL
 180014           NULL
 180026           NULL
 180048           NULL
 180052           NULL
 180060           NULL
 180064           NULL
 180084           NULL
 180087           NULL
 180173           NULL
 180175           NULL
 180226           NULL
 180267           NULL
 180271           NULL
 180327           NULL
 180369           NULL
 180442           NULL
 180444           NULL
 180488           NULL
 180501           NULL
 180542           NULL
 180613           NULL
 180630           NULL
 180637           NULL
 180656           NULL
 180711           NULL
 180720           NULL
 180765           NULL
 180778           NULL
 180842           NULL
 180845           NULL
 180875           NULL
 180879           NULL
 180903           NULL
 180927           NULL
 180929           NULL
 181007           NULL
 181009           NULL
 181086           NULL
 181109           NULL
 181167           NULL
 181191           NULL
 181203           NULL
 181264           NULL
 181286           NULL
 181365           NULL
 181499           NULL
 181515           NULL
 181549           NULL
 181609           NULL
 181674           NULL
 181689           NULL
 181709           NULL
 181727           NULL
 181790           NULL
 181808           NULL
 181829           NULL
 181832           NULL
 181835           NULL
 181837           NULL
 181838           NULL
 181925           NULL
 181929           NULL
 181955           NULL
 181961           NULL
 181970           NULL
 182006           NULL
 182031           NULL
 182159           NULL
 182201           NULL
 182204           NULL
 182217           NULL
 182314           NULL
 182343           NULL
 182353           NULL
 182354           NULL
 182355           NULL
 182378           NULL
 182380           NULL
 182501           NULL
 182604           NULL
 182641           NULL
