# ID_Ours 	 ID_MAGPHYS 	 Distance(Arc Seconds) 
 
20.0	575984.0	1.3346404028e-07
25.0	575984.0	9.67291423421e-09
38.0	575943.0	4.98406634381e-09
59.0	578600.0	1.28907528467e-07
62.0	577614.0	2.42753524779e-09
67.0	577063.0	1.0124266836e-07
72.0	577063.0	2.84248405991e-09
87.0	577692.0	3.00092403625e-09
130.0	578741.0	2.3449418774e-08
146.0	578409.0	1.34590937817e-09
214.0	579303.0	3.24230435814e-09
270.0	580369.0	1.59060334768e-09
280.0	580203.0	3.38703446136e-09
283.0	580433.0	1.38196175525e-09
305.0	580203.0	1.17784991944e-07
335.0	581494.0	1.28104645238e-07
377.0	581437.0	6.79710961889e-09
383.0	581494.0	1.68613402052e-09
415.0	581723.0	9.33237878193e-09
502.0	582566.0	3.94545853691e-09
509.0	583632.0	1.11209844142e-07
510.0	584103.0	1.21000892492e-07
518.0	584192.0	3.12518095647e-09
523.0	584103.0	8.59332868084e-08
524.0	583333.0	4.14027337447e-09
532.0	583041.0	2.80625473863e-09
533.0	584103.0	9.71577655749e-08
543.0	583711.0	1.75631999008e-09
544.0	583950.0	1.17087651844e-09
545.0	583156.0	1.13844842007e-07
553.0	583041.0	1.50250055022e-07
561.0	583331.0	2.57171836657e-09
579.0	583385.0	7.8091816489e-09
587.0	584103.0	1.01062715443e-07
654.0	584568.0	2.00640400077e-09
680.0	583632.0	1.18788867357e-09
703.0	584489.0	3.96912993354e-09
725.0	584103.0	9.01047300504e-08
728.0	584103.0	1.65677000298e-09
757.0	584773.0	2.24795546261e-09
758.0	584867.0	1.01374927462e-07
770.0	584867.0	1.28688343419e-07
803.0	585546.0	3.35273421385e-09
824.0	584867.0	4.92101595317e-09
836.0	586264.0	9.16497525905e-10
864.0	585271.0	2.67140135767e-09
865.0	585642.0	1.60244924197e-09
874.0	586472.0	8.03397581339e-09
889.0	586472.0	3.69612724502e-08
894.0	586199.0	4.65340931399e-08
898.0	586472.0	6.35057263167e-08
899.0	585816.0	2.21902144804e-09
910.0	587138.0	1.22847087027e-09
928.0	586472.0	8.21171251973e-08
944.0	583632.0	1.35180907242e-07
947.0	586685.0	2.47628054417e-09
