6.0	nan	1.74268
7.0	nan	-0.55398
8.0	nan	0.53305
19.0	-1.13722	nan
20.0	-0.24625	0.20676
25.0	-0.36698	-0.78369
26.0	-0.51658	-0.94057
30.0	-0.59204	-0.39648
37.0	-0.47894	-0.60137
38.0	-0.08087	-0.1712
42.0	-0.51624	nan
54.0	-0.35267	-0.49825
55.0	0.22421	-0.05341
59.0	0.10501	-0.16143
62.0	-0.49598	-0.20391
67.0	-0.00153	-0.28594
68.0	-0.59061	0.15087
70.0	-1.58679	0.05439
72.0	-0.23039	-0.5646
73.0	0.27738	0.09336
87.0           0.42287888013715460.45979838841295717
96.0	nan	0.78355
106.0	-0.2673	0.47575
110.0	-0.37873	0.32144
113.0	0.00653	nan
115.0	nan	0.32397
120.0	nan	nan
125.0	-0.08609	-0.04512
130.0	0.06678	-0.54823
134.0	-0.07875	-0.06779
137.0	-0.58589	nan
146.0	0.07222	-0.0248
172.0	-0.28938	-0.38004
185.0	0.19479	-0.68071
186.0	0.03165	nan
187.0	nan	-0.76983
200.0	-0.39842	-0.66383
214.0	0.17487	-0.1497
220.0	nan	nan
228.0	0.14425	-0.53875
243.0	-0.41006	-0.56748
270.0	-0.17314	-0.29565
273.0	0.978	0.58258
276.0	nan	nan
278.0	nan	nan
280.0	nan	-0.20706
281.0	nan	nan
283.0	-0.25714	-0.15952
290.0	0.14019	-0.07511
298.0	-0.36443	-0.17611
304.0	-0.59059	-0.31612
305.0	0.02873	-0.23449
310.0	0.27653	nan
324.0	0.24382	nan
325.0          0.34800756348127110.48381380285733994
335.0	0.43373	0.1322
340.0	0.08253	nan
346.0	0.23064	0.14568
347.0	-0.45959	-0.60517
352.0	-0.30267	-0.15915
357.0	nan	0.23576
377.0	0.09422	-0.71314
380.0	0.83997	nan
383.0	-0.02849	-0.31738
394.0	0.72423	nan
399.0	-0.51817	-0.10427
412.0	0.2955	nan
415.0	0.18102	0.07066
428.0	-0.53811	nan
434.0	-0.24003	-0.31037
445.0	-0.42946	0.54569
449.0	nan	0.29118
453.0	-0.08991	-0.40485
457.0	-0.31843	-0.4271
460.0	0.05262	-0.45341
486.0	nan	nan
